sheet,key,column,type,old,new
"eConsent, eCOA & Sites",UI Improvements for Multi-Part and Composite Surveys,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Rule Instance Ranges and Custom Functions,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",eConsent Preview Role Selector,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Digital Delegation General Enhancements,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Replaceable Tokens for Library Surveys,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Customizable End Status Labels,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Authenticated Discovery Endpoint for Inbound API,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",iOS 26 Support,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Study-Level Site Connect Document Auto File Override (navigation change only),,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",eCOA Assigned Access Permisssions,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",eCOA Custom Site Roles,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Study Archival Automated Reattempts,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",System Accessibility Enhancements,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Linking In-Person Study to Existing Account,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Handling Removed Sites,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Clearer Reporting Outage Information,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Summary of Change Character Validation,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Compliance Dashboard,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Study Lifecycle Action: Change to Active,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",PI Approval Workflow Available in eBinder Upload,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Survey Schedule and Compliance Enhancements,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",CTMS Address Book for Invoicing,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Compliance Schedule View,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Group Display Order,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",CTMS Visit Calendar General Enhancements,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",26R2 Feature Event Audits,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Participant ID Instructions,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",CTMS PDF Invoice Generation,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Populate QSCATID for Multi-Part and Composite Survey Scores,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Reason for Rejection Fields on eSignature Workflows,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Bookmarks and Hyperlinks in EOSM and SDS,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Improved MyVeeva Access During Regional Outages,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Visual Analog Scale (VAS) Enhancements,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",CTMS Schedule Builder,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Support for Multiple Caregivers,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Collection Document Enhancements,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",CTMS Chargemasters and Charge Codes,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",26R2 Translations and New Languages,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Enhanced Diary UI for Required Surveys,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",CTMS Central Activity Library,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Reusable Survey Translation Export and Import,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Survey Schedule Display Order,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Read & Understand History Report Refresh,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Dynamic Delegation Acceptance Participants,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Site Investigator Data Review and Signature,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Multi-Part Surveys,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Support for Attachment Uploads in eClinRO Surveys,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",eCOA Vault Layout Update - Study Country Creation,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Site Staff and External User Pages Refresh,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Survey Library Image Management Enhancements,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Data Transfer Credential Locking Prevention,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Automated Study Design Specification Generation,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Site Connect Automatic Document Filing,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Sponsor-Controlled Deployment,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Targeted Data Changes,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Activity Fee Override,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Composite Surveys,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Send a Copy of a Consent Form,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Enhanced Survey-Based Notification Tokens,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",UAT Time Travel,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",General Usability and UI/UX Enhancements,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Site Notification Emails Language Changes,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Rule-Triggered Data Transfer to Veeva EDC,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Digital Financial Disclosure Forms,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Cross-Question Validations,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Redesigned Digital Delegation Log,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Study Budget: Costs and Expenses,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Notification Digests for Sites and Participants,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Optional Site Signature,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Visit Calendar,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",26R1 Feature Event Audits,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",eConsent Preview Link Expiration,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Site Timezone for Site Activities,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",Moving Completed Surveys,,Record Removed,Entire Record Removed,
"eConsent, eCOA & Sites",CTMS General Enhancements,Feature Description,Modified,"This feature includes general enhancements to improve the overall CTMS user experience. Some of the notable highlights are listed below.
- The Launch Editor button is updated to Schedule Builder.
- The Edit Participant Fees label is updated to Edit Fee Amounts.
- The Count column is updated to Usage when creating a billable item from a site fee.","This feature includes the following general enhancements to CTMS:
- Overhead and Withholding fields can accommodate up to two decimal spaces.
- When a study schedule is present on a study, the Visits tab becomes the focus when viewing a Participant record.
- When a budget is finalized, SiteVault will automatically recalculate billable items for visits completed after the budget's effective date. Visits with invoiced or paid items are skipped.
- When an expense plan is finalized, SiteVault will recalculate payable items for visit completed after the Expense Plan's effective date. Visits with paid or voided items are skipped."
"eConsent, eCOA & Sites",CTMS General Enhancements,GxP Risk,Modified,Low,Medium
Veeva Vault RIA,Enhanced Create Report Page,,Record Added,,Entire Record Added
Veeva Vault RIA,Publishing Validation Results Help Field,,Record Added,,Entire Record Added
Veeva Vault RIA,Stability Spec Execution: No Notification for Missing Batch,,Record Added,,Entire Record Added
Veeva Vault RIA,Document Inbox Enhancements: Edit Document Type,,Record Added,,Entire Record Added
Veeva Vault RIA,Exclude Reporter Information by Destination on CIOMS I Forms,,Record Added,,Entire Record Added
Veeva Vault RIA,Configurable Event Reported Verbatim on Import,,Record Added,,Entire Record Added
Veeva Vault RIA,References in SCP UI,,Record Added,,Entire Record Added
Veeva Vault RIA,Launch Collaborative Authoring from Link,,Record Added,,Entire Record Added
Veeva Vault RIA,Active Dossier: Exclude Submission Country from Generation,,Record Added,,Entire Record Added
Veeva Vault RIA,Bitmask Field,,Record Added,,Entire Record Added
Veeva Vault RIA,Display Preferred Affiliation in OpenData Clinical Details,,Record Added,,Entire Record Added
Veeva Vault RIA,Enhanced E2B Generation Warning Notifications,,Record Added,,Entire Record Added
Veeva Vault RIA,Fee Schedule Builder: Site Level,,Record Added,,Entire Record Added
Veeva Vault RIA,Test Authoring Interface Experience Improvements,,Record Added,,Entire Record Added
Veeva Vault RIA,PVA Effective Date Automation,,Record Added,,Entire Record Added
Veeva Vault RIA,Human-in-the-Loop (HITL) for Actions,,Record Added,,Entire Record Added
Veeva Vault RIA,Process Navigator Enhancement: Support None Operator in Dynamic Document Associations,,Record Added,,Entire Record Added
Veeva Vault RIA,Cascade DCC Roles to Documents on Task Reassignment,,Record Added,,Entire Record Added
Veeva Vault RIA,Query Agent,,Record Added,,Entire Record Added
Veeva Vault RIA,Invalid & Special Situation Case Promotion,,Record Added,,Entire Record Added
Veeva Vault RIA,Record Migration Mode for Delete Operations,,Record Added,,Entire Record Added
Veeva Vault RIA,Prevent Document Reconciliation on Non-Connected Sites,,Record Added,,Entire Record Added
Veeva Vault RIA,Safety-EDC Connection: Combine Reporter & Sender Comments for Multi-Event Follow-Up Cases,,Record Added,,Entire Record Added
Veeva Vault RIA,Specify Reply-to Value for PVA Distribution Emails,,Record Added,,Entire Record Added
Veeva Vault RIA,Scientific Statements: Extend Scope of Auto-Approve Statements,,Record Added,,Entire Record Added
Veeva Vault RIA,Clinical Operations-EDC Connection: Improved Error Handling for Protocol Deviations,,Record Added,,Entire Record Added
Veeva Vault RIA,Scientific Statements: Auto-Linking in Readiness Panel,,Record Added,,Entire Record Added
Veeva Vault RIA,Validation Criteria: EMA Identifiable Patient Updates,,Record Added,,Entire Record Added
Veeva Vault RIA,Global Directory to OpenData Clinical Matching,,Record Added,,Entire Record Added
Veeva Vault RIA,Case Compare: MedDRA Preferred Term Matching,,Record Added,,Entire Record Added
Veeva Vault RIA,Clinical Operations-EDC Connection: Support Repeating Item Groups on Procedures,,Record Added,,Entire Record Added
Veeva Vault RIA,Blind Isolation: Simplified Japan Registration Unblinding,,Record Added,,Entire Record Added
Veeva Vault RIA,Relative Date Filters in Jobs,,Record Added,,Entire Record Added
Veeva Vault RIA,Dashboards: Long Text Dialogs,,Record Added,,Entire Record Added
Veeva Vault RIA,Wizard Updates for Enhanced Handling of Local Differences,,Record Added,,Entire Record Added
Veeva Vault RIA,Test Execution: Updated Exception Icon Hover Display,,Record Added,,Entire Record Added
Veeva Vault RIA,MLR: Improved Similarity Scores,,Record Added,,Entire Record Added
Veeva Vault RIA,Checklists: Dynamic Questions,,Record Added,,Entire Record Added
Veeva Vault RIA,Direct Data API: Additional Document Metadata in Workflow Extracts,,Record Added,,Entire Record Added
Veeva Vault RIA,Clinical Operations-EDC Connection: Additive SDV,,Record Added,,Entire Record Added
Veeva Vault RIA,Active Dossier Population for Activities with No Submission,,Record Added,,Entire Record Added
Veeva Vault RIA,Audit Room: Configurable Lifecycle States,,Record Added,,Entire Record Added
Veeva Vault RIA,Empty Section Indicator Scalability Improvement,,Record Added,,Entire Record Added
Veeva Vault RIA,Safety Deletion Logs,,Record Added,,Entire Record Added
Veeva Vault RIA,Product Browser: Allow Multiple Trade Names,,Record Added,,Entire Record Added
Veeva Vault RIA,Print Label: Label Definition is Searchable,,Record Added,,Entire Record Added
Veeva Vault RIA,New Clinical Operations-Vault CRM Connection,,Record Added,,Entire Record Added
Veeva Vault RIA,Medical-CRM Connection: Approved Email,,Record Added,,Entire Record Added
Veeva Vault RIA,Create Related Record: Copy Custom Fields for Referenced Records,,Record Added,,Entire Record Added
Veeva Vault RIA,Dynamic Styling for Claim-Based Link Annotations,,Record Added,,Entire Record Added
Veeva Vault RIA,Calculated Result Can Use Input Amount,,Record Added,,Entire Record Added
Veeva Vault RIA,External Notifications: Preview Email,,Record Added,,Entire Record Added
Veeva Vault RIA,Submissions Archive Scalability Improvements,,Record Added,,Entire Record Added
Veeva Vault RIA,New Case Management User Interface,,Record Added,,Entire Record Added
Veeva Vault RIA,Weekly Signal Review Scheduling,,Record Added,,Entire Record Added
Veeva Vault RIA,Paste Lists into Text Filters,,Record Added,,Entire Record Added
Veeva Vault RIA,Quality-Safety Connection: Promotion Status,,Record Added,,Entire Record Added
Veeva Vault RIA,Block Milestone Rollup Dates,,Record Added,,Entire Record Added
Veeva Vault RIA,Claims: Deep Delete,,Record Added,,Entire Record Added
Veeva Vault RIA,Layout Profile: Summary Dialog for Adding & Removing Users,,Record Added,,Entire Record Added
Veeva Vault RIA,Fee Schedule Template Builder,,Record Added,,Entire Record Added
Veeva Vault RIA,Add API Name to Document Type Details Object,,Record Added,,Entire Record Added
Veeva Vault RIA,Process eMDR ACKs,,Record Added,,Entire Record Added
Veeva Vault RIA,Claims: New References Section,,Record Added,,Entire Record Added
Veeva Vault RIA,Ad Hoc Criteria,,Record Added,,Entire Record Added
Veeva Vault RIA,Study Milestones in Process Monitor,,Record Added,,Entire Record Added
Veeva Vault RIA,Create Inbound Interactions from Ingested Emails,,Record Added,,Entire Record Added
Veeva Vault RIA,Fast Search,,Record Added,,Entire Record Added
Veeva Vault RIA,Support Multi-Object Reference Fields in Document Report Formulas,,Record Added,,Entire Record Added
Veeva Vault RIA,MIR Device Form Validations,,Record Added,,Entire Record Added
Veeva Vault RIA,FDA FAERS E2B(R3) Primary IND Selection,,Record Added,,Entire Record Added
Veeva Vault RIA,Show Report Formula Fields as a Percentage,,Record Added,,Entire Record Added
Veeva Vault RIA,Complaint Email Ingestion: Support for MedTech Complaint Intake Object Type,,Record Added,,Entire Record Added
Veeva Vault RIA,Report Usage,,Record Added,,Entire Record Added
Veeva Vault RIA,Extract Proposed Active Dossier Relationships for Registrations: Enablement Update,,Record Added,,Entire Record Added
Veeva Vault RIA,Test Definition & Spec Data: Updated Formatting Options Validation Method,,Record Added,,Entire Record Added
Veeva Vault RIA,Document Change Control: Unlink Document Change Request & Periodic Review,,Record Added,,Entire Record Added
Veeva Vault RIA,Local Language Name & Address Details in OpenData Clinical,,Record Added,,Entire Record Added
Veeva Vault RIA,Document Control Homepage Enhancement: Improve Object Reference Field Value Selection in Filter Criteria,,Record Added,,Entire Record Added
Veeva Vault RIA,eCTD 4.0 Viewing: Stylized Submission Unit XML,,Record Added,,Entire Record Added
Veeva Vault RIA,Medical: Metrics in Portals,,Record Added,,Entire Record Added
Veeva Vault RIA,Update Email Details after Document View,,Record Added,,Entire Record Added
Veeva Vault RIA,MLR: Reviewer Queue,,Record Added,,Entire Record Added
Veeva Vault RIA,26R2 Safety Suite Standardization,,Record Added,,Entire Record Added
Veeva Vault RIA,Where Used Object Action,,Record Added,,Entire Record Added
Veeva Vault RIA,Packages Support for Record Attachments & Attachment Fields,,Record Added,,Entire Record Added
Veeva Vault RIA,Clinical Operations-EDC Connection: Limit Updates to Sites for Connected Studies,,Record Added,,Entire Record Added
Veeva Vault RIA,Create Related Record: Validation Updates,,Record Added,,Entire Record Added
Veeva Vault RIA,Display Application Configurations by Enabled Application,,Record Added,,Entire Record Added
Veeva Vault RIA,Notifications: Remove Multiple Email Addresses from Suppression List,,Record Added,,Entire Record Added
Veeva Vault RIA,VeevaID Contextual Help for Personal Detail Updates,,Record Added,,Entire Record Added
Veeva Vault RIA,Specify Start Date for Multi-Agreement Activities,,Record Added,,Entire Record Added
Veeva Vault RIA,Active Dossier: Support for Tracking Vaccines & Injectables,,Record Added,,Entire Record Added
Veeva Vault RIA,Validation Criteria: Inactivate NMPA.F.r.1-2,,Record Added,,Entire Record Added
Veeva Vault RIA,Bring Your Own Model: Google Gemini Support,,Record Added,,Entire Record Added
Veeva Vault RIA,Validation Criteria: MFDS Validation Improvements for Device Products,,Record Added,,Entire Record Added
Veeva Vault RIA,Agent Configuration Enhancements,,Record Added,,Entire Record Added
Veeva Vault RIA,Replace User Association,,Record Added,,Entire Record Added
Veeva Vault RIA,Email Addresses for Manufacturer Sites,,Record Added,,Entire Record Added
Veeva Vault RIA,Document Change Request: Add Target Document Owner,,Record Added,,Entire Record Added
Veeva Vault RIA,Milestone Study Country & Site Hardening,,Record Added,,Entire Record Added
Veeva Vault RIA,View E2B Readable Renditions in Vault,,Record Added,,Entire Record Added
Veeva Vault RIA,NMPA Validation Criteria: Localize G.K.2.2 and H.1 Validations,,Record Added,,Entire Record Added
Veeva Vault RIA,Safety-RIM Connection: New IDMP MPID Field Mapping,,Record Added,,Entire Record Added
Veeva Vault RIA,PVA Periodic Review,,Record Added,,Entire Record Added
Veeva Vault RIA,Audit Room: Multiple Scribe Notes,,Record Added,,Entire Record Added
Veeva Vault RIA,Device Agency for EU Countries,,Record Added,,Entire Record Added
Veeva Vault RIA,FDA Summary Type Reporting Rules Automation,,Record Added,,Entire Record Added
Veeva Vault RIA,Test Execution: Optional Expected Amount,,Record Added,,Entire Record Added
Veeva Vault RIA,Japan Rules-Based Narratives,,Record Added,,Entire Record Added
Veeva Vault RIA,Clinical Operations-EDC Connection: Query Metric for Site Connect Study Plan,,Record Added,,Entire Record Added
Veeva Vault RIA,Local Case Resync,,Record Added,,Entire Record Added
Veeva Vault RIA,Medical-CRM Connection: Populate Inquiry’s Preferred Contact Information on Case,,Record Added,,Entire Record Added
Veeva Vault RIA,Populate Validation Viewer Role on Validation Management Records,,Record Added,,Entire Record Added
Veeva Vault RIA,Vault AI UI Minor Update,,Record Added,,Entire Record Added
Veeva Vault RIA,Support for User Groups in Registration Verification Workflow,,Record Added,,Entire Record Added
Veeva Vault RIA,Generate Payable Items Supports Multi-Record Workflow,,Record Added,,Entire Record Added
Veeva Vault RIA,Include Current Day in the Study Document Audit Export,,Record Added,,Entire Record Added
Veeva Vault RIA,Validate Action on US Registrations Using API,,Record Added,,Entire Record Added
Veeva Vault RIA,Safety-EDC Connection: Apply Cause of Death Details Only to Death-Related SAEs,,Record Added,,Entire Record Added
Veeva Vault RIA,Optional Safety Distribution Acknowledgment,,Record Added,,Entire Record Added
Veeva Vault RIA,Case Validation: Masked and Blinded Data,,Record Added,,Entire Record Added
Veeva Vault RIA,Safety Rules Troubleshooting Tool for Localized Case,,Record Added,,Entire Record Added
Veeva Vault RIA,EDLs: Consistent Hierarchy Viewer,,Record Added,,Entire Record Added
Veeva Vault RIA,Enhanced Logic Operators for Signal Alerts,,Record Added,,Entire Record Added
Veeva Vault RIA,FDA MedWatch 3500A: September 2025 Version,,Record Added,,Entire Record Added
Veeva Vault RIA,Agent Workflow Task Completion,,Record Added,,Entire Record Added
Veeva Vault RIA,Improved Postmarket Combination Product Management,,Record Added,,Entire Record Added
Veeva Vault RIA,EUDAMED UDI Submission Generation Restricted to Supported Languages,,Record Added,,Entire Record Added
Veeva Vault RIA,Automatic On-Demand Validation for Submission Validation Version Changes,,Record Added,,Entire Record Added
Veeva Vault RIA,Responsive UI,,Record Added,,Entire Record Added
Veeva Vault RIA,Japan Reporting: Cross Reporting Registration Improvements,,Record Added,,Entire Record Added
Veeva Vault RIA,Process Navigator Enhancement: Improve Object Reference Field Value Selection,,Record Added,,Entire Record Added
Veeva Vault RIA,Improved Document Viewer,,Record Added,,Entire Record Added
Veeva Vault RIA,Copy Enhancements for Activities & Protocols,,Record Added,,Entire Record Added
Veeva Vault RIA,External Notifications: Complaint Enhancements,,Record Added,,Entire Record Added
Veeva Vault RIA,Reason for Change: Support for Test Plan & Effectiveness Check,,Record Added,,Entire Record Added
Veeva Vault RIA,Latest Case Version Support,,Record Added,,Entire Record Added
Veeva Vault RIA,Control Binding for Object Fields,,Record Added,,Entire Record Added
Veeva Vault RIA,Secure DTD Extended to Swissmedic EMA E2B Submissions,,Record Added,,Entire Record Added
Veeva Vault RIA,VPS: Configurable Data Mapping,,Record Added,,Entire Record Added
Veeva Vault RIA,Create Related Records: High-Volume Data Support,,Record Added,,Entire Record Added
Veeva Vault RIA,Monitoring Event Seeding Respects Previous Monitoring Event of Same Content Type,,Record Added,,Entire Record Added
Veeva Vault RIA,External Notifications: Alternate Communication Languages,,Record Added,,Entire Record Added
Veeva Vault RIA,Taiwan eCTD 3.2 (TW 2.1) DTD 2.0,,Record Added,,Entire Record Added
Veeva Vault RIA,Signal Individual Case Review for SafetyDocs,,Record Added,,Entire Record Added
Veeva Vault RIA,Japan Reporting: Improved Validations for Blinded Product Submissions,,Record Added,,Entire Record Added
Veeva Vault RIA,Add/Remove Responses Dialog Enhancements,,Record Added,,Entire Record Added
Veeva Vault RIA,Safety PBRER Case Listing for Summary Tabulation of ADR,,Record Added,,Entire Record Added
Veeva Vault RIA,Complaint Agent: Medtech Complaints,,Record Added,,Entire Record Added
Veeva Vault RIA,Document Version Compare Agent,,Record Added,,Entire Record Added
Veeva Vault RIA,Prevent Creation of New Adobe Formatted Outputs,,Record Added,,Entire Record Added
Veeva Vault RIA,Create Event Details: Improved Filtering,,Record Added,,Entire Record Added
Veeva Vault RIA,Vault AI Enablement,,Record Added,,Entire Record Added
Veeva Vault RIA,Safety-EDC Connection: Retain Primary Designation for Multi-Event Cases,,Record Added,,Entire Record Added
Veeva Vault RIA,Apply Default Filter for Owning Site,,Record Added,,Entire Record Added
Veeva Vault RIA,External Response Collaboration: Inspection Requests,,Record Added,,Entire Record Added
Veeva Vault RIA,Add Description to Report Formula Fields,,Record Added,,Entire Record Added
Veeva Vault RIA,Allow Disabling of Event Change Action Values,,Record Added,,Entire Record Added
Veeva Vault RIA,Qualification Support for LIMS & Batch Release,,Record Added,,Entire Record Added
Veeva Vault RIA,Link Packaging to MP-Registration Bulk Action,,Record Added,,Entire Record Added
Veeva Vault RIA,MedDRA Query Scope Filtering,,Record Added,,Entire Record Added
Veeva Vault RIA,Activate the Safety Monthly Maintenance Job,,Record Added,,Entire Record Added
Veeva Vault RIA,Curriculum Completion Percentage Update,,Record Added,,Entire Record Added
Veeva Vault RIA,Active Dossier: Enhanced Metadata Export,,Record Added,,Entire Record Added
Veeva Vault RIA,Qualification Check for Market-Ship Decisions,,Record Added,,Entire Record Added
Veeva Vault RIA,Spec Data Builder: Option to Edit Fields on Sample Action,,Record Added,,Entire Record Added
Veeva Vault RIA,Additive SDV Supported in Monitoring Event Subject Visit Seeding Logic,,Record Added,,Entire Record Added
